Condition,Remedy_1,Remedy_2,Remedy_3
Acne Vulgaris,Tea tree oil (diluted),Aloe vera gel,Honey & Cinnamon mask
Eczema (Atopic Dermatitis),Oatmeal bath,Coconut oil moisturizer,Sunflower seed oil
Psoriasis,Epsom salt soak,Apple cider vinegar (diluted),Turmeric paste
Rosacea,Green tea compress,Cucumber slices,Oatmask mask
Melasma,Lemon juice (limited),Yogurt cooling mask,Turmeric & Milk
Fungal Infection (Tinea Faciei),Garlic paste,Oregano oil (diluted),Apple cider vinegar
Herpes Simplex (Cold Sores),Lemon balm,Ice compress,Honey
Warts,Duct tape occlusion,Apple cider vinegar soak,Garlic rub
Milia,Steam facial,Gentle exfoliation,Honey mask
Normal,Cucumber cooling,Aloe vera hydration,Rose water mist
Vitiligo,Ginger juice rub,Papaya paste,Radish seed paste
Wrinkles,Argan oil massage,Egg white mask,Banana peel rub
Dark Circles,Cold tea bags,Potato juice,Almond oil massage
Cellulitis,Epsom salt soak (after consulting MD),Turmeric milk,Garlic (dietary)
Urticaria,Cold compress,Calamine lotion,Oatmeal paste
Vasculitis,Elevation of area,Cold compress,Anti-inflammatory diet (Ginger/Turmeric)
Lupus,Sun protection (Essential),Anti-inflammatory diet,Stress management
Actinic Keratosis,Apple cider vinegar soak,Green tea extract,Milk thistle extract
Seborrheic Keratosis,Castor oil rub,Apple cider vinegar,Cooling aloe
Bullous Disease,Gentle cleaning,Loose clothing,Zinc oxide paste
Exanthems and Drug Eruptions,Cooling oatmeal bath,Antihistamine diet,Cold compress
Systemic Disease,Immediate medical consult,Stress management,Anti-inflammatory nutrition
Vascular Tumors,Gentle cleaning,Cold compress,Compression-only on MD advice
Perioral Dermatitis,Stop steroid creams,Mild saline wash,Oatmeal paste
Sebaceous Hyperplasia,Apple cider vinegar soak,Peppermint oil,Gentle cleansing
Folliculitis,Warm salt compress,Antibacterial soap,Tea tree oil
Keratosis Pilaris,Gentle physical exfoliation,Urea-based lotions,Moisturize often
Contact Dermatitis,Identify & Remove trigger,Calamine lotion,Aloe vera gel
Fungal Acne,Ketoconazole wash,Honey mask,Oil-free hydration
Cystic Acne,Ice compress,Tea tree oil,Warm salt compress
Hormonal Acne,Spearmint tea,Zing supplement (dietary),Gentle cleansing
Impetigo,Salt water soak,Garlic rub,Honey
Post-Inflammatory Hyperpigmentation (PIH),Aloe vera,Vitamin E oil,Niacinamide rich mask
Squamous Cell Carcinoma,IMMEDIATE MEDICAL CARE,Sun protection,Healthy diet
Basal Cell Carcinoma,IMMEDIATE MEDICAL CARE,Sun protection,Healthy diet
Melanoma,IMMEDIATE MEDICAL CARE,Sun protection,Healthy diet
Lentigines,Lemon juice (spot),Aloe vera,Vitamin E
Freckles,Pomegranate juice,Yogurt mask,Sun protection
Skin Tags,Tea tree oil rub,Apple cider vinegar,Castor oil & Baking soda
Enlarged Pores,Ice facial,Clay mask,Egg white mask
Comedones,Steam facial,Clay mask,Salicylic acid wash
Normal,Rose water,Aloe vera,Cucumber
