Condition,Sub_Issue,Severity,Advice,Doctor_Required,Dos,Donts,Morning_Routine,Night_Routine
Acne Vulgaris,None,Mild,Maintain good hygiene and use recommended products.,Not required,"Use salicylic acid facewash; Apply adapalene at night; Keep skin moisturized; Wash face 2x daily","Don't pick or pop pimples; Don't use oily creams; Don't over-wash; Avoid junk/greasy food","Cleanser (Salicylic acid wash); Serum (Niacinamide); Moisturizer (Oil-free); Sunscreen (SPF 30+)","Cleanser; Treatment (Adapalene pea-sized); Moisturizer"
Hormonal Acne,None,Moderate,Acne around jawline/chin. Manage stress and diet.,Not required,"Use gentle cleansers; Avoid dairy/sugar; Manage stress","Don't over-exfoliate; Don't pick; Avoid heavy makeup","Cleanser (Gentle); Serum (Niacinamide); Moisturizer; Sunscreen","Cleanser; Treatment (Azelaic Acid); Moisturizer"
Fungal Acne,None,Moderate,Small itchy bumps. Use fungal-safe products.,Not required,"Use antifungal wash (Ketoconazole); Keep skin dry","Don't use oily products; Don't use fatty acids; Avoid thick balms","Cleanser (Nizoral wash 2-3x/week); Oil-free moisturizer; Sunscreen","Cleanser; Antifungal cream; Light moisturizer"
Cystic Acne,None,Severe,Painful deep spots. Seek professional treatment.,Recommended,"Use ice to reduce swelling; Use gentle cleansers; Follow medical advice","Don't pick or squeeze (can cause deep scarring); Don't delay treatment","Cleanser (Gentle); Ice treatment; Moisturizer; Sunscreen","Cleanser (Double cleanse); Spot treatment; Rich moisturizer"
Comedones,None,Mild,Use non-comedogenic products and gentle exfoliation.,Not required,"Use mild exfoliation (salicylic acid); Use lightweight moisturizers","Don't use heavy oils; Don't skip moisturizing","Cleanser (Gentle); Light moisturizer; Sunscreen","Cleanser; Mild exfoliant (2-3x/week); Moisturizer"
Impetigo,None,Moderate,Highly contagious bacterial infection. Keep clean.,Recommended,"Keep area clean; Use prescribed antibiotics; Wash hands regularly","Don't touch or scratch; Don't share towels; Don't ignore","Clean gently with water; Apply antibiotic cream","Clean area; Reapply medicine"
Folliculitis,None,Moderate,Red bumps around hair roots. Use antibacterial wash.,Not required,"Use warm compresses; Use antibacterial wash (Benzoyl Peroxide); Keep clean","Don't shave affected area; Don't pick; Avoid tight clothing","Antibacterial wash; Light moisturizer; Sunscreen","Cleanser; Antibiotic/Antifungal cream"
Fungal Infection (Tinea Faciei),None,Moderate,Apply antifungal creams and avoid sharing towels.,Not required,"Apply antifungal cream; Keep skin dry; Use clean towels","Don't use steroid creams (worsens fungal); Don't share personal items","Clean area (Gentle); Apply antifungal cream; Sunscreen","Clean area; Reapply medicine"
Herpes Simplex (Cold Sores),None,Mild,Avoid touching blisters and use antiviral cream.,Not required,"Use antiviral cream early; Keep area clean; Boost immunity","Don't touch or kiss others; Don't share utensils; Don't pop blisters","Clean gently; Apply antiviral cream","Reapply antiviral cream; Boost immunity"
Eczema (Atopic Dermatitis),None,Moderate,Keep skin hydrated with fragrance-free moisturizers.,Not required,"Use strong moisturizer; Use soap-free cleanser; Keep skin hydrated","Avoid hot showers; Avoid fragrance products; Don't scratch","Mild cleanser (or just water); Thick moisturizer (MUST); Sunscreen","Cleanser; Moisturizer (Heavy layer)"
Seborrheic Dermatitis,None,Moderate,Use medicated shampoos containing ketoconazole.,Not required,"Use anti-dandruff shampoo carefully; Keep skin clean; Use antifungal creams","Don't ignore flakes; Avoid oily products; Don't overwash harshly","Gentle cleanser; Light moisturizer; Sunscreen","Cleanser; Antifungal cream"
Rosacea,None,Moderate,Use gentle cleansers and avoid sun exposure.,Not required,"Use gentle cleanser; Apply sunscreen daily; Use soothing products (niacinamide)","Avoid spicy food; Avoid hot drinks & heat; No harsh scrubs","Gentle cleanser; Soothing serum (Niacinamide/Aloe); Moisturizer; Sunscreen (MUST)","Gentle cleanser; Light moisturizer"
Contact Dermatitis,None,Moderate,Identify and avoid the trigger/allergen.,Not required,"Use calming creams; Stay hydrated; Use mild products","Avoid the trigger product; Don't scratch","Cleanser (Mild); Calming cream; Sunscreen","Cleanser; Moisturizer"
Urticaria,None,Moderate,Sudden itchy red patches. Use antihistamines.,Not required,"Use cold compress; Wear loose cotton clothing; Avoid triggers","Don't take hot showers; Don't scratch; Avoid tight clothes","Gentle cleanser; Calming lotion; High SPF Sunscreen","Cleanser; Antihistamine/Calming lotion"
Melasma,None,Moderate,Wear sunscreen daily and avoid direct sun.,Not required,"Use sunscreen (MUST); Use Vitamin C / Niacinamide; Use gentle skincare","Avoid sun exposure; Don't use harsh chemicals; Don't ignore it","Gentle cleanser; Vitamin C serum; Moisturizer; Sunscreen (SPF 50+ MUST)","Cleanser; Niacinamide / Alpha arbutin; Moisturizer"
Vitiligo,None,Moderate,Use high SPF sunscreen on white patches.,Recommended,"Protect from sun; Consult dermatologist early; Use prescribed creams","Don't self-treat randomly; Don't ignore new patches; Avoid skin injury","Gentle cleanser; Moisturizer; Sunscreen (MUST)","Cleanser; Prescribed cream (Doctor-based); Moisturizer"
Freckles,None,Good,Small brown spots (genetic). Always wear sunscreen.,Not required,"Wear sunscreen (SPF 50); Wear hats/sunglasses","Avoid direct sunlight; Don't hope for removal overnight","Cleanser; Vitamin C serum; Moisturizer; Sunscreen (MUST)","Cleanser; Niacinamide; Night cream"
Lentigines,None,Moderate,Dark spots from sun/aging. Use brightening serums.,Not required,"Use daily sunscreen; Apply brightening serums (Alpha Arbutin/Kojic Acid)","Don't skip SPF; Don't pick at spots","Cleanser; Vitamin C serum; Moisturizer; Sunscreen","Cleanser; Retinol / Alpha Arbutin; Moisturizer"
Post-Inflammatory Hyperpigmentation (PIH),None,Mild,Use Vitamin C serums and daily sun protection.,Not required,"Use Vitamin C / Niacinamide; Use sunscreen daily; Be patient","Don't pick or squeeze (creates new PIH); Avoid sun exposure","Cleanser (Brightening); Vitamin C serum; Moisturizer; Sunscreen","Cleanser; Niacinamide serum; Moisturizer"
Psoriasis,None,Severe,Use specialized creams and consult a doctor.,Recommended,"Moisturize regularly; Use medicated creams; Manage stress","Avoid alcohol & smoking; Don't pick scales; Avoid harsh skincare","Gentle cleanser; Thick moisturizer; Sunscreen","Cleanser; Medicated cream; Moisturizer"
Milia,None,Mild,Exfoliate gently with salicylic acid. Do not squeeze.,Not required,"Use mild exfoliation (AHA/BHA weekly); Keep skin clean; Professional extraction","Don't squeeze them; Don't use heavy creams; Avoid thick sunscreens","Gentle cleanser; Light moisturizer; Sunscreen","Cleanser; Mild exfoliant (2-3x/week); Moisturizer"
Enlarged Pores,None,Good,Common with oily skin. Use Niacinamide/Salicylic acid.,Not required,"Keep skin clean; Use primer for texture; Use Oil-control products","Don't use thick oils; Don't skip cleansing","Cleanser (Oil-control); Niacinamide serum; Light moisturizer; Sunscreen","Cleanser; BHA exfoliant (2-3x/week); Moisturizer"
Sebaceous Hyperplasia,None,Mild,Small yellowish bumps. Harmless but treatable by pro.,Not required,"Use gentle exfoliation; Consult pro for laser/cautery","Don't squeeze; Don't use heavy oils","Cleanser (Salicylic Acid); Niacinamide; Sunscreen","Cleanser; Retinol; Moisturizer"
Keratosis Pilaris,None,Mild,Rough tiny bumps. Use Keratolytic moisturizers.,Not required,"Exfoliate gently; Use Urea-based moisturizers; Stay hydrated","Don't scrub harshly; Don't pick; Avoid hot water","Mild cleanser; Moisturizer (Urea/Lactic Acid); Sunscreen","Cleanser; Gentle exfoliant; Thick moisturizer"
Skin Tags,None,Mild,Harmless growths. Can be removed if bothersome.,Not required,"Consult pro for removal; Keep skin clean","Don't pull or cut tags yourself; Don't use thread removal at home"
Warts,None,Mild,Avoid picking and use salicylic acid treatment.,Not required,"Keep area dry; Use salicylic acid treatment; Wash hands","Don't pick or scrape; Don't share towels; Avoid touching others"
Cellulitis,None,Severe,Bacterial infection - serious! Seek urgent medical care.,Recommended,"Seek URGENT medical attention; Apply cold/warm compress as advised; Keep elevated","Don't ignore swelling; Don't delay treatment; Don't self-medicate","See Medical Protocol (Urgent)","See Medical Protocol (Urgent)"
Basal Cell Carcinoma,None,Severe,Skin lesion - seek specialist urgently.,Recommended,"Consult Dermatologist URGENTLY; Keep track of changes; Protect from sun","Don't ignore; Don't pick at lesion; Don't delay diagnosis","See Specialist","See Specialist"
Squamous Cell Carcinoma,None,Severe,Scaly red patch - seek specialist urgently.,Recommended,"Consult Dermatologist URGENTLY; Protect from sun; Keep area clean","Don't ignore scaly patch; Don't self-treat; Don't delay diagnosis","See Specialist","See Specialist"
Melanoma,None,Severe,Unusual mole - seek specialist URGENTLY.,Recommended,"Consult Specialist URGENTLY; Monitor mole changes (ABCDE); Protect from sun","Don't ignore size/color changes; Don't pick at mole; Don't delay","See Specialist","See Specialist"
