Condition,Category,Name,Brand,Price,Tier
Acne Vulgaris,Face Wash,Saeed Ghani Neem Face Wash,Saeed Ghani,Rs. 450,Budget
Acne Vulgaris,Face Wash,Derma Shine Acne Wash,Derma Shine,Rs. 650,Budget
Acne Vulgaris,Serum,MandelAC Serum,Jenpharm,Rs. 1200,Mid-Range
Acne Vulgaris,Serum,Niacinamide Serum,Vince,Rs. 1450,Mid-Range
Acne Vulgaris,Cleanser,Neutrogena Acne Wash,Neutrogena,Rs. 3500,Premium
Hormonal Acne,Serum,MandelAC Serum,Jenpharm,Rs. 1200,Mid-Range
Hormonal Acne,Face Wash,Vince Mild Wash,Vince,Rs. 850,Budget
Hormonal Acne,Treatment,Azelaic Acid 10%,The Ordinary,Rs. 2800,Premium
Fungal Acne,Treatment,Nizoral Cream,Janssen,Rs. 850,Mid-Range
Fungal Acne,Face Wash,Nizoral Shampoo (as wash),Janssen,Rs. 1650,Mid-Range
Fungal Acne,Moisturizer,Dermive Oil Free,Jenpharm,Rs. 1150,Mid-Range
Cystic Acne,Treatment,Benzac AC 5% Gel,Galderma,Rs. 1850,Mid-Range
Cystic Acne,Treatment,DermaV AC Gel,Jenpharm,Rs. 1100,Mid-Range
Cystic Acne,Cleanser,CeraVe Acne Control,CeraVe,Rs. 4200,Premium
Comedones,Exfoliant,Salicylic Acid 2%,The Ordinary,Rs. 2800,Premium
Comedones,Exfoliant,BHA Exfoliating Toner,Primary,Rs. 1850,Mid-Range
Impetigo,Antiseptic,Betadine Solution,Mundipharma,Rs. 350,Budget
Impetigo,Antiseptic,Pyodine,Generic,Rs. 200,Budget
Folliculitis,Face Wash,Hibiscrub Wash,Mölnlycke,Rs. 950,Mid-Range
Folliculitis,Treatment,Benzoyl Peroxide 5%,Benzac,Rs. 1200,Mid-Range
Fungal Infection (Tinea Faciei),Antifungal,Canesten Cream,Bayer,Rs. 480,Budget
Fungal Infection (Tinea Faciei),Face Wash,Nizoral Shampoo (as wash),Janssen,Rs. 1650,Mid-Range
Herpes Simplex (Cold Sores),Lip Balm,Zovirax Cream,GSK,Rs. 950,Mid-Range
